Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Masseron 2006,2006A&A...455.1059M,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2005, ASPC, 336, 25)",127,2006A&A...455.1059M
Masseron 2006,2006A&A...455.1059M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2005, ASPC, 336, 25)",134,2006AAP...455.1059M
Sivarani 2006,2006A&A...459..125S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Asplund et al. (2005, ASPC, 336, 25)",128,2006A&A...459..125S
Sivarani 2006,2006A&A...459..125S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Asplund et al. (2005, ASPC, 336, 25)",135,2006AAP...459..125S
GarciaPerez 2006,2006A&A...447..299G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,"Grevesse & Sauval (1998, SSRv, 85, 161)",129,2006AAP...447..299G
GarciaPerez 2006,2006A&A...451..621G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",130,2006AAP...451..621G
Gehren 2006,2006A&A...451.1065G,SAGA,FOCES on Calar Alto Observatory (2.2m),40000,unregistered,132,2006AAP...451.1065G
Spite 2006,2006A&A...455..291S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",133,2006AAP...455..291S
Battaglia 2006,2006A&A...459..423B,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,self,136,2006AAP...459..423B
Koch 2006,2006AJ....131..895K,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,unregistered,137,2006AJ....131..895K
Preston 2006,2006AJ....132...85P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),40000,"unregistered / Lawler et al. (2001, ApJ, 563, 1075) / Lawler et al. (2001, ApJ, 556, 452)",138,2006AJ....132...85P
Cohen 2006,2006AJ....132..137C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,unregistered,139,2006AJ....132..137C
Preston 2006,2006AJ....132.1714P,JINA,"MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m), Echelle Spectrograph and Imager (ESI) on Keck II ",25000,self,140,2006AJ....132.1714P
Frebel 2006,2006ApJ...638L..17F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",70000,"Asplund et al. (2005, ASPC, 336, 25)",141,2006ApJ...638L..17F
Aoki 2006,2006ApJ...639..897A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2005, ASPC, 336, 25) / Asplund et al. (2005, A&A, 431, 693), log-e(C)",142,2006ApJ...639..897A
Besgaard 2006,2006ApJ...641.1122B,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,unregistered,143,2006ApJ...641.1122B
Melendez 2006,2006ApJ...642.1082M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,unregistered,144,2006ApJ...642.1082M
Honda 2006,2006ApJ...643.1180H,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2005, ASPC, 336, 25)",145,2006ApJ...643.1180H
Asplund 2006,2006ApJ...644..229A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",120000,unregistered,146,2006ApJ...644..229A
Collet 2006,2006ApJ...644L.121C,JINA,simulation,nan,self,147,2006ApJ...644L.121C
Ivans 2006,2006ApJ...645..613I,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Anders and Grevesse (1989, GeCoA, 53, 197) / Lawler et al. (2001, ApJ, 563, 1075) / unregistered / Lawler et al. (2004, ApJ, 604, 850) / Lawler et al. (2001, ApJ, 556, 452) / Hartog et al. (2003, ApJS, 148, 543) / Lawler et al. (2006, ApJS, 162, 227) / Lawler et al. (2001, ApJS, 137, 341)",148,2006ApJ...645..613I
Aoki 2006,2006ApJ...650L.127A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Lodders (2003, ApJ, 591, 1220)",149,2006ApJ...650L.127A
Reddy 2006,2006MNRAS.367.1329R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,unregistered,150,2006MNRAS.367.1329R
Goswami 2006,2006MNRAS.372..343G,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Asplund et al. (2005, ASPC, 336, 25)",151,2006MNRAS.372..343G
Bonifacio 2007,2007A&A...462..851B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Anstee et al. (1997, MNRAS, 284, 202)",152,2007AAP...462..851B
Monaco 2007,2007A&A...464..201M,SAGA,SARG spectrograph at the TNG telescope at La Palma (3.58m),29000,self,153,2007AAP...464..201M
Andrievsky 2007,2007A&A...464.1081A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,154,2007AAP...464.1081A
Shi 2007,2007A&A...465..587S,SAGA,FOCES on Calar Alto Observatory (2.2m),40000,"Anders and Grevesse (1989, GeCoA, 53, 197)",155,2007AAP...465..587S
Sbordone 2007,2007A&A...465..815S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,156,2007AAP...465..815S
Nissen 2007,2007A&A...469..319N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,self,157,2007AAP...469..319N
Francois 2007,2007A&A...476..935F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (2000, orel.conf., 261)",158,2007AAP...476..935F
Koch 2007,2007AJ....133..270K,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,self,159,2007AJ....133..270K
Beers 2007,2007AJ....133.1193B,SAGA,Ohio State InfraRed Imager/Spectrometer (OSIRIS) on Southern Astrophysical Research (SOAR) telescope (4.1m),3000,"Asplund et al. (2005, ASPC, 336, 25)",160,2007AJ....133.1193B
Aoki 2007,2007ApJ...655..492A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Asplund et al. (2005, ASPC, 336, 25)",161,2007ApJ...655..492A
Koch 2007,2007ApJ...657..241K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,6000,self,162,2007ApJ...657..241K
Frebel 2007,2007ApJ...658..534F,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2005, ASPC, 336, 25)",163,2007ApJ...658..534F
Johnson 2007,2007ApJ...658.1203J,SAGA,"R-C spectrograph at Cerro Tololo Inter-American Observatory (CTIO,1.5m)",intermediate,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",164,2007ApJ...658.1203J
Melendez 2007,2007ApJ...659L..25M,SAGA,"HIRES on Keck I (HIRES, 10m)",100000,"Melendez & Barbuy (2002, ApJ, 575, 474)",165,2007ApJ...659L..25M
Cohen 2007,2007ApJ...659L.161C,SAGA,"HIRES on Keck I (HIRES, 10m)",35000,"Anders and Grevesse (1989, GeCoA, 53, 197)",166,2007ApJ...659L.161C
Aoki 2007,2007ApJ...660..747A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. ( 2004, A&A, 417, 751)",167,2007ApJ...660..747A
Frebel 2007,2007ApJ...660L.117F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",75000,"Asplund et al. (2005, ASPC, 336, 25)",168,2007ApJ...660L.117F
Honda 2007,2007ApJ...666.1189H,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2005, ASPC, 336, 25)",169,2007ApJ...666.1189H
Lai 2007,2007ApJ...667.1185L,SAGA,Echelle Spectrograph and Imager (ESI) on Keck II,7000,"Anders and Grevesse (1989, GeCoA, 53, 197)",170,2007ApJ...667.1185L
Boesgaard 2007,2007ApJ...667.1196B,SAGA,"HIRES on Keck I (HIRES, 10m)",46000,"Grevesse & Sauval (1998, SSRv, 85, 161)",171,2007ApJ...667.1196B
Schuler 2007,2007ApJ...667L..81S,SAGA, NOAO Phoenix near-IR spectrometer on Gemini-South telescope (8.1m),50000,"Asplund et al. (2005, ASPC, 336, 25)",172,2007ApJ...667L..81S
Norris 2007,2007ApJ...670..774N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",173,2007ApJ...670..774N
Bosler 2007,2007MNRAS.378..318B,SAGA,Low Resolution Imaging Spectrometer (LRIS) on Keck I,14000,self,174,2007MNRAS.378..318B
Martin 2007,2007MNRAS.380..281M,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,nan,nan,175,2007MNRAS.380..281M
Takeda 2007,2007PASJ...59..335T,SAGA,"HIDES at the Okayama Astrophysical Observatory (OAO) (OAO, 1.88m)",70000,"Asplund et al. (2005, ASPC, 336, 25)",176,2007PASJ...59..335T
Aoki 2007,2007PASJ...59L..15A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",177,2007PASJ...59L..15A
GonzalezHernandez 2008,2008A&A...480..233G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Grevesse & Sauval (2000, eaa.bookE1979) / unregistered",178,2008AAP...480..233G
Andrievsky 2008,2008A&A...481..481A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (2000, orel.conf., 261)",179,2008AAP...481..481A
Bergemann 2008,2008A&A...492..823B,SAGA,FOCES on Calar Alto Observatory (2.2m),60000,self,180,2008AAP...492..823B
Koch 2008,2008AJ....135.1580K,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Lodders (2003, ApJ, 591, 1220)",181,2008AJ....135.1580K
Cohen 2008,2008ApJ...672..320C,SAGA,"HIRES on Keck I (HIRES, 10m)",35000,unregistered,182,2008ApJ...672..320C
Roederer 2008,2008ApJ...675..723R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,120000,"Lawler et al. (2001, ApJ, 556, 452) / Grevesse & Sauval (2002, Adv. Space, Rev., 30, 3) / Sneden et al. (1991, AJ, 102, 2001) / Lawler et al. (2006, ApJS, 162, 227)",183,2008ApJ...675..723R
Thompson 2008,2008ApJ...677..556T,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),40000,unregistered,184,2008ApJ...677..556T
Aoki 2008,2008ApJ...678.1351A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2005, ASPC, 336, 25)",185,2008ApJ...678.1351A
Mashonkina 2008,2008A&A...478..529M,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,self,186,2008ApJ...679.1549M
Roederer 2008,2008ApJ...679.1549R,JINA,HET at McDonald Observatory (11m),15000," Grevesse & Sauval (2002, Adv. Space, Rev., 30, 3)",187,2008ApJ...679.1549R
Lai 2008,2008ApJ...681.1524L,SAGA,"HIRES on Keck I (HIRES, 10m)",46000,"Grevesse & Sauval (1998, SSRv, 85, 161)",188,2008ApJ...681.1524L
Frebel 2008,2008ApJ...684..588F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",70000,"Asplund et al. (2005, ASPC, 336, 25)",189,2008ApJ...684..588F
Koch 2008,2008ApJ...688L..13K,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),20000,"Asplund et al. (2005, ASPC, 336, 25)",190,2008ApJ...688L..13K
Battaglia 2008,2008MNRAS.383..183B,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,20000,self,191,2008MNRAS.383..183B
Aoki 2008,2008PASJ...60L...7A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Simmerer & Sneden (2004, ApJ, 617, 1091)",192,2008PASJ...60L...7A
Andrievsky 2009,2009A&A...494.1083A,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Asplund et al. (2005, ASPC, 336, 25)",193,2009A&A...494.1083A
Andrievsky 2009,2009A&A...494.1083A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Asplund et al. (2005, ASPC, 336, 25)",200,2009AAP...494.1083A
Bonifacio 2009,2009A&A...501..519B,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Anstee et al. (1997, MNRAS, 284, 202)",194,2009A&A...501..519B
Bonifacio 2009,2009A&A...501..519B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Anstee et al. (1997, MNRAS, 284, 202)",204,2009AAP...501..519B
Aoki 2009,2009A&A...502..569A,JINA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",195,2009A&A...502..569A
Aoki 2009,2009A&A...502..569A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",205,2009AAP...502..569A
Hayek 2009,2009A&A...504..511H,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,"Asplund et al. (2005, ASPC, 336, 25)",196,2009A&A...504..511H
Feltzing 2009,2009A&A...508L...1F,JINA,"HIRES on Keck I (HIRES, 10m)",high,"Asplund et al. (2006, NPA, 777, 1)",197,2009A&A...508L...1F
Feltzing 2009,2009A&A...508L...1F,SAGA,"HIRES on Keck I (HIRES, 10m)",high,"Asplund et al. (2006, NPA, 777, 1)",208,2009AAP...508L...1F
Feltzing 2009,"2009A&A...508L...1F, 2010ApJ...711..350N",Alex Ji,"HIRES on Keck I (HIRES, 10m)",high,"Asplund et al. (2006, NPA, 777, 1)",198,"2009A&A...508L...1F, 2010ApJ...711..350N"
Hosford 2009,2009A&A...493..601H,SAGA,UCLES on Anglo-Australian 3.9m Telescope,43000,"Bahcall et al. (2001, ApJ, 555, 990)",199,2009AAP...493..601H
Smiljanic 2009,2009A&A...499..103S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",35000,"Lodders (2003, ApJ, 591, 1220)",201,2009AAP...499..103S
Gullieuszik 2009,2009A&A...500..735G,SAGA,FORS2 on Yepun (VLT-UT4) 8.2m telescope at the ESO ,intermediate,self,202,2009AAP...500..735G
Fabbian 2009,2009A&A...500.1143F,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),60000,"Asplund et al. (2005, ASPC, 336, 25)",203,2009AAP...500.1143F
GarciaPerez 2009,2009A&A...504..213G,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Grevesse & Sauval (1998, SSRv, 85, 161)",206,2009AAP...504..213G
Aden 2009,2009A&A...506.1147A,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,self,207,2009AAP...506.1147A
Shetrone 2009,2009AJ....137...62S,SAGA,Low Resolution Imaging Spectrometer (LRIS) on Keck I,10000,self,209,2009AJ....137...62S
Koch 2009,2009ApJ...690..453K,SAGA,Gemini Multiobject Spectrograph (GMOS) on the Gemini North telescope (8m),3600,self,210,2009ApJ...690..453K
Lai 2009,2009ApJ...697L..63L,JINA,Echelle Spectrograph and Imager (ESI) on Keck II,6000,self,211,2009ApJ...697L..63L
Aoki 2009,2009ApJ...698.1803A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2005, ASPC, 336, 25)",212,2009ApJ...698.1803A
Roederer 2009,2009ApJ...698.1963R,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Lodders (2003, ApJ, 591, 1220)",213,2009ApJ...698.1963R
Ito 2009,2009ApJ...698L..37I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2005, ASPC, 336, 25)",214,2009ApJ...698L..37I
Cohen 2009,2009ApJ...701.1053C,SAGA,"HIRES on Keck I (HIRES, 10m)",35000,unregistered,215,2009ApJ...701.1053C
Rich 2009,2009ApJ...701.1519R,SAGA,"HIRES on Keck I (HIRES, 10m)",48000,self,216,2009ApJ...701.1519R
Kirby 2009,2009ApJ...705..328K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,6500,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",217,2009ApJ...705..328K
Zhang 2009,2009ApJ...706.1095Z,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Anders and Grevesse (1989, GeCoA, 53, 197)",218,2009ApJ...706.1095Z
Tan 2009,2009MNRAS.392..205T,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",48000,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",219,2009MNRAS.392..205T
Saito 2009,2009PASJ...61..549S,SAGA,"HIDES at the Okayama Astrophysical Observatory (OAO) (OAO, 1.88m)",50000,"Asplund et al. (2005, ASPC, 336, 25)",220,2009PASJ...61..549S
Behara 2010,2010A&A...513A..72B,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Lodders (2003, ApJ, 591, 1220) / Caffau et al. (2009, MmSAI, 80, 643)",221,2010A&A...513A..72B
Behara 2010,2010A&A...513A..72B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Lodders (2003, ApJ, 591, 1220) / Caffau et al. (2009, MmSAI, 80, 643)",229,2010AAP...513A..72B
Masseron 2010,2010A&A...516A..46M,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,self,222,2010A&A...516A..46M
Gallagher 2010,2010A&A...523A..24G,JINA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",95000,"Grevesse et al. (1996, ASPC, 99, 117)",223,2010A&A...523A..24G
Gallagher 2010,2010A&A...523A..24G,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",95000,"Grevesse et al. (1996, ASPC, 99, 117)",235,2010AAP...523A..24G
Andrievsky 2010,2010A&A...509A..88A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,self,224,2010AAP...509A..88A
Masseron 2010,2010A&A...509A..93M,SAGA,multiple,40000,"Asplund et al. (2005, ASPC, 336, 25)",225,2010AAP...509A..93M
Hosford 2010,2010A&A...511A..47H,SAGA,UCLES on Anglo-Australian 3.9m Telescope,43000,"Bahcall et al. (2001, ApJ, 555, 990)",226,2010AAP...511A..47H
Nissen 2010,2010A&A...511L..10N,SAGA,"FIbre-fed Echelle Spectrograph (FIES) at the Nordic Optical Telescope (NOT, 2.65m)",40000,self,227,2010AAP...511L..10N
Alves-Brito 2010,2010A&A...513A..35A,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Asplund et al. (2009, ARA&A, 47, 481)",228,2010AAP...513A..35A
Melendez 2010,2010A&A...515L...3M,SAGA,"FIbre-fed Echelle Spectrograph (FIES) at the Nordic Optical Telescope (NOT, 2.65m)",35000,self,230,2010AAP...515L...3M
Mashonkina 2010,2010A&A...516A..46M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",231,2010AAP...516A..46M
Bergemann 2010,2010A&A...522A...9B,SAGA,FOCES on Calar Alto Observatory (2.2m),40000,unregistered,232,2010AAP...522A...9B
Sbordone 2010,2010A&A...522A..26S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",233,2010AAP...522A..26S
Letarte 2010,2010A&A...523A..17L,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,28800,"Anders and Grevesse (1989, GeCoA, 53, 197) / Grevesse & Sauval (1998, SSRv, 85, 161)",234,2010AAP...523A..17L
Tafelmeyer 2010,2010A&A...524A..58T,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Anders and Grevesse (1989, GeCoA, 53, 197) / Grevesse & Sauval (1998, SSRv, 85, 161)",236,2010AAP...524A..58T
Frebel 2010,2010ApJ...708..560F,SAGA,"HIRES on Keck I (HIRES, 10m)",37000,"Asplund et al. (2005, ASPC, 336, 25)",237,2010ApJ...708..560F
Norris 2010,2010ApJ...711..350N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Asplund et al. (2005, ASPC, 336, 25)",238,2010ApJ...711..350N
Roederer 2010,2010ApJ...711..573R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,33000,"Asplund et al. (2009, ARA&A, 47, 481)",239,2010ApJ...711..573R
Simon 2010,2010ApJ...716..446S,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",240,2010ApJ...716..446S
Cohen 2010,2010ApJ...719..931C,SAGA,"HIRES on Keck I (HIRES, 10m)",35000,unregistered,241,2010ApJ...719..931C
Keller 2010,2010ApJ...720..940K,SAGA,Phoenix spectrograph on the Gemini South telescope (8m),50000,"Asplund et al. (2006, NPA, 777, 1)",242,2010ApJ...720..940K
Norris 2010,2010ApJ...722L.104N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,self,243,2010ApJ...722L.104N
Norris 2010,2010ApJ...723.1632N,SAGA,AAOmega  spectrograph at AAT (3.9m),5000,self,244,2010ApJ...723.1632N
Aoki 2010,2010ApJ...723L.201A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,self,245,2010ApJ...723L.201A
Roederer 2010,2010ApJ...724..975R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Asplund et al. (2009, ARA&A, 47, 481)",246,2010ApJ...724..975R
Kirby 2010,2010ApJS..191..352K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,6500,"Anders and Grevesse (1989, GeCoA, 53, 197)",247,2010ApJS..191..352K
Frebel 2010,2010IAUS..265..237F,Alex Ji,"HIRES on Keck I (HIRES, 10m)",high,self,248,2010IAUS..265..237F
Bergemann 2010,2010MNRAS.401.1334B,SAGA,FOCES on Calar Alto Observatory (2.2m),high,"Asplund et al. (2009, ARA&A, 47, 481)",249,2010MNRAS.401.1334B
Ishigaki 2010,2010PASJ...62..143I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Grevesse et al. (1996, ASPC, 99, 117)",250,2010PASJ...62..143I
