Paper name,ViziER tag,Columns,Members,Data source,Tables included
Kirby 2009,J/ApJS/191/352,"['RAJ2000', 'DEJ2000', '_', 'Galaxy', 'Name', '_', '_', 'Bmag', 'e_Bmag', 'Vmag', 'e_Vmag', 'Rmag', 'e_Rmag', 'Imag', 'e_Imag', 'T_eff', 'e_T_eff', 'e_Tph', 'log_g', 'e_log_g', 'vt', 'Fe_H', 'e_Fe_H', 'Mg_Fe', 'e_Mg_Fe', 'Si_Fe', 'e_Si_Fe', 'Ca_Fe', 'e_Ca_Fe', 'Ti_Fe', 'e_Ti_Fe', 'Fe_H_125', 'Fe_H_250', 'Fe_H_0.3', 'Fe_H_0.6', 'Mg_Fe_125', 'Mg_Fe_250', 'Mg_Fe_0.3', 'Mg_Fe_0.6', 'Si_Fe_125', 'Si_Fe_250', 'Si_Fe_0.3', 'Si_Fe_0.6', 'Ca_Fe_125', 'Ca_Fe_250', 'Ca_Fe_0.3', 'Ca_Fe_0.6', 'Ti_Fe_125', 'Ti_Fe_250', 'Ti_Fe_0.3', 'Ti_Fe_0.6', 'Simbad']","['Scl', 'For', 'LeoI', 'Sex', 'LeoII', 'CVnI', 'UMi', 'Dra']",Vizier,['abun']
Duggan 2018,J/ApJ/869/50,"['RAJ2000', 'DEJ2000', '_', 'Name', 'Name', '_', '_', 'T_eff', 'e_T_eff', 'log_g', 'vt', 'Fe_H', 'e_Fe_H', 'a_Fe', 'e_a_Fe', 'Ba_Fe', 'e_Ba_Fe', '_', 'K10', '_', 'Simbad']","['Dra', 'UMi', 'Scl', 'For', 'Sex']",Vizier,['table6']
Kirby 2015,J/ApJ/801/125,"['RAJ2000', 'DEJ2000', '_', 'Galaxy', 'Name', '_', '_', '_', '_', '_', '_', '_', '_', 'logL', 'S_N', 'T_eff', 'log_g', 'Fe_H', 'e_Fe_H', 'a_Fe', 'e_a_Fe', 'l_C_Fe', 'C_Fe', 'e_C_Fe', 'l_C_Fe_c', 'C_Fe_c', 'S2CH', 'e_S2CH', 'Cstar']","['NGC2419', 'M68', 'M15', 'Sculptor', 'Fornax', 'Draco', 'UrsaMinor']",Vizier,['table4']
Skuladottir 2019,J/A+A/631/A171,"['RAJ2000', 'DEJ2000', '_', 'Name', '_', '_', 'T_eff', 'log_g', 'vt', 'Fe_H', 'e_Fe_H', 'o_Mg', 'Mg_Fe', 'e_Mg_Fe', 'o_Y', 'Y_Fe', 'e_Y_Fe', 'o_Ba', 'Ba_Fe', 'e_Ba_Fe', 'o_La', 'La_Fe', 'e_La_Fe', 'o_Nd', 'Nd_Fe', 'e_Nd_Fe', 'o_Eu', 'Eu_Fe', 'e_Eu_Fe', 'Simbad']",['Scl'],Vizier,['tableb1']
Theler 2020,J/A+A/642/A176,"['Co_Fe', 'Ba_Fe', 'Hmag', 'RV', 'RAJ2000', 'Vmag', 'er_Ba_Fe', 'e_Ba_Fe', 'e_Eu_Fe', 'Simbad', 'er_Ni_Fe', 'Eu_Fe', 'DEJ2000', 'er_Co_Fe', 'e_RV', 'e_Co_Fe', 'e_Ni_Fe', 'Ni_Fe', 'l_RV', '_', 'Jmag', 'o_Ba_Fe', 'Kmag', 'er_Eu_Fe', 'Name', 'o_Ni_Fe', 'Imag']",['Sex'],Vizier,"['table12', 'table2']"
de los Reyes 2020,J/ApJ/891/85,"['RAJ2000', 'DEJ2000', '_', 'Galaxy', 'Name', '_', '_', 'T_eff', 'e_T_eff', 'log_g', 'e_log_g', 'vt', 'e_vt', 'a_Fe', 'e_a_Fe', 'Fe_H', 'e_Fe_H', 'Mn_Fe', 'e_Mn_Fe', 'K10', 'K16', 'Simbad']","['Scl', 'For', 'LeoI', 'CVnIa', 'UMi', 'UMaII', 'M15', 'M2', 'M53']",Vizier,['table7']
Kirby 2017-A,J/ApJ/834/9,"['A', 'e_Si_Fe', 'e_Ca_Fe', 'e_Ti_Fe', 'Mg_Fe', 'e_HRV', 'RAJ2000', 'e_Fe_H', 'Fe_H', 'Simbad', 'Galaxy', 'DEJ2000', 'Si_Fe', 'HRV', 'Nmasks', '_', 'a_Fe', 'Member', 'e_Mg_Fe', 'T_eff', 'f_Mm', 'Ca_Fe', 'Name', 'Ti_Fe', 'log_g', 'S_N', 'e_a_Fe']","['LeoA', 'Aquarius', 'SagDIG']",Vizier,"['table3', 'table2']"
Kirby 2017,J/ApJ/838/83,"['e_gP1mag', 'A', 'e_Si_Fe', 'e_Ca_Fe', 'e_Ti_Fe', 'ID_K15', 'Mg_Fe', 'gP1mag', 'e_HRV', 'ID_M16', 'RAJ2000', 'sigma', 'Masks', 'e_Fe_H', 'Fe_H', 'Simbad', 'EW', 'Radius', 'f_MIC2016', 'DEJ2000', 'Fe_H_CaT', 'Si_Fe', 'HRV', 'iP1mag', '_', 'a_Fe', 'Member', 'e_Mg_Fe', 'e_Fe_H_CaT', 'T_eff', 'f_Mm', 'Ca_Fe', 'Ti_Fe', 'e_iP1mag', 'log_g', 'S_N', 'e_a_Fe']",['TriII'],Vizier,"['table4', 'table2']"
Reichert 2020,J/A+A/641/A127,"['logeps_Eu', 'e_T_eff', 'logeps_Ba', 'logeps_Ni', 'logeps_Sr', 'e_tot_Ni', 'logeps_Sc', 'T_eff', 'e_tot_Sc', 'RAJ2000', 'e_tot_Zn', 'Name', 'e_tot_Ti', 'Fe_H', 'e_tot_Sr', 'log_g', 'e_tot_Eu', 'Simbad', '_', 'e_Fe_H', 'logeps_Mg', 'logeps_Cr', 'e_log_g', 'e_tot_Mg', 'Galaxy', 'e_tot_Cr', 'e_tot_Mn', 'DEJ2000', 'e_tot_Ba', 'logeps_Ti', 'logeps_Zn', 'logeps_Mn']","['Scl', 'Car', 'LeoI', 'Sex', 'SegI', 'For', 'RetII', 'TriII', 'Sgr', 'UMaII', 'BooI', 'UMi', 'Dra']",Vizier,"['tableo1', 'tableo3']"
Kirby 2020,J/AJ/159/46,"['RAJ2000', 'DEJ2000', 'Galaxy', 'Name', '_', '_', 'Vmag', 'Imag', 'slitmask', 'SNR', 'HRV', 'Member', 'T_eff', 'log_g', 'Fe_H', 'a_Fe', 'Mg_Fe', 'Si_Fe', 'Ca_Fe', 'Ti_Fe', '_', '_', 'Simbad']","['AndromedaVII', 'AndromedaI', 'AndromedaIII', 'AndromedaV', 'AndromedaX']",Vizier,['table2']
Hill 2019,J/A+A/626/A15,"['Ni_Fe', 'Zn_Fe', 'Ba_Fe', 'Fe2_Fe', 'Eu_Fe', 'Ca_Fe', 'Name', 'Kmag', 'Jmag', 'Vmag', 'RAJ2000', '_', 'pm_DE', 'Si_Fe', 'DEJ2000', 'pm_RA', 'GaiaID', 'Simbad', 'Fe_H', 'La_Fe', 'Nd_Fe', 'Cr_Fe', 'RV', 'O_Fe', 'Mg_Fe', 'Co_Fe', 'TiI_Fe', 'Imag', 'S_N', 'Na_Fe', 'TiII_Fe', 'Sc_Fe']",['Scl'],Vizier,"['tablec1', 'tablec5']"
